customer_id,customer_name,gender,location,user_type
1000,Arjun Iyer,Male,204,New
1001,Sunil Yadav,Male,101,New
1002,Pradeep Joshi,Male,57,Returning
1003,Isha Verma,Female,84,Returning
1004,Deepak Nair,Male,123,New
1005,Mahesh Reddy,Male,193,New
1006,Divya Hegde,Female,68,Returning
1007,Aanya Shah,Female,200,Returning
1008,Kiran Iyer,Female,105,New
1009,Deepak Chatterjee,Male,204,Returning
1011,Rohan Roy,Male,205,Returning
1012,Sandeep Mukherjee,Male,43,New
1013,Isha Bhat,Female,133,Returning
1014,Pranav Joshi,Male,33,New
1015,Radhika Sodhi,Female,65,New
1016,Amit Gupta,Male,164,New
1017,Suresh Joshi,Male,77,New
1018,Aniket Roy,Male,15,Returning
1019,Harini Sen,Female,212,New
1020,Pankaj Mukherjee,Male,153,Returning
1021,Gaurav Singh,Male,119,Returning
1022,Pradeep Pillai,Male,206,New
1023,Sai Roy,Male,38,Returning
1024,Kajal Nair,Female,27,Returning
1025,Ananya Nair,Female,45,New
1026,Abhishek Choudhury,Male,218,Returning
1027,Pooja Rao,Female,199,Returning
1028,Swati Deshmukh,Female,27,New
1029,Harini Patel,Female,33,New
1030,Kavita Pillai,Female,151,Returning
1031,Tanvi Shetty,Female,159,Returning
1032,Radhika Nair,Female,59,New
1033,Venkat Deshmukh,Male,57,Returning
1034,Rahul Pandey,Male,146,Returning
1035,Vijay Shetty,Male,119,Returning
1036,Pranav Roy,Male,149,Returning
1037,Amrita Menon,Female,44,Returning
1038,Vikram Gawde,Male,98,Returning
1039,Kiran Pandey,Female,84,Returning
1040,Divya Shah,Female,55,Returning
1041,Aanya Menon,Female,94,Returning
1042,Venkat Mishra,Male,182,Returning
1043,Shweta Reddy,Female,158,Returning
1044,Pankaj Shah,Male,167,Returning
1045,Raghav Banerjee,Male,83,New
1046,Diya Pandey,Female,75,Returning
1047,Deepika Pillai,Female,83,New
1048,Alok Sodhi,Male,88,New
1049,Rohan Deshmukh,Male,109,Returning
1050,Pradeep Yadav,Male,215,New
1051,Krishna Kaur,Male,222,Returning
1052,Manish Patil,Male,99,Returning
1053,Swati Gawde,Female,130,Returning
1054,Ramesh Choudhury,Male,48,Returning
1055,Gayatri Patil,Female,158,Returning
1056,Neha Pillai,Female,31,Returning
1057,Amit Chatterjee,Male,209,Returning
1058,Madhav Kaur,Male,132,Returning
1059,Madhav Nair,Male,151,New
1060,Amit Kumar,Male,190,Returning
1061,Amit Gupta,Male,192,Returning
1062,Pooja Chavan,Female,224,Returning
1063,Gaurav Deshmukh,Male,31,New
1064,Pradeep Yadav,Male,126,New
1065,Ritu Kulkarni,Female,13,New
1066,Jyoti Mishra,Female,77,Returning
1067,Akash Mukherjee,Male,177,New
1068,Bhavana Bhat,Female,130,Returning
1069,Aniket Kumar,Male,139,Returning
1070,Kiran Mishra,Female,32,New
1071,Anand Reddy,Male,113,New
1072,Kavita Shetty,Female,13,New
1073,Gaurav Bhat,Male,169,Returning
1074,Amit Hegde,Male,154,Returning
1075,Rahul Gawde,Male,184,New
